zone,day,hour,is_weekend,is_peak_hour,traffic,aqi,weather,fuel_consumption,power
Zone1,1,0,0,0,167,115,2,11.27,538
Zone1,1,1,0,0,167,137,2,11.27,463
Zone1,1,2,0,0,200,142,0,13.5,498
Zone1,1,3,0,0,175,117,1,11.81,465
Zone1,1,4,0,0,182,144,0,12.29,470
Zone1,1,5,0,0,166,112,2,11.21,497
Zone1,1,6,0,0,202,161,2,13.64,487
Zone1,1,7,0,1,341,250,0,23.02,616
Zone1,1,8,0,1,309,231,0,20.86,553
Zone1,1,9,0,1,315,215,2,21.26,583
Zone1,1,10,0,1,344,225,1,23.22,591
Zone1,1,11,0,0,205,151,2,13.84,533
Zone1,1,12,0,0,224,151,2,15.12,556
Zone1,1,13,0,0,183,128,0,12.35,464
Zone1,1,14,0,0,212,161,0,14.31,504
Zone1,1,15,0,0,172,117,1,11.61,461
Zone1,1,16,0,0,178,138,1,12.02,463
Zone1,1,17,0,1,548,375,2,36.99,711
Zone1,1,18,0,1,546,348,2,36.86,684
Zone1,1,19,0,1,532,364,0,35.91,652
Zone1,1,20,0,1,544,370,2,36.72,677
Zone1,1,21,0,0,159,108,1,10.73,466
Zone1,1,22,0,0,183,155,0,12.35,502
Zone1,1,23,0,0,181,124,1,12.22,460
Zone1,2,0,0,0,178,116,2,12.02,526
Zone1,2,1,0,0,180,138,0,12.15,487
Zone1,2,2,0,0,174,133,1,11.75,552
Zone1,2,3,0,0,164,121,2,11.07,476
Zone1,2,4,0,0,193,149,0,13.03,525
Zone1,2,5,0,0,199,162,1,13.43,554
Zone1,2,6,0,0,169,146,1,11.41,476
Zone1,2,7,0,1,326,205,0,22.01,608
Zone1,2,8,0,1,306,201,1,20.66,561
Zone1,2,9,0,1,351,248,2,23.69,551
Zone1,2,10,0,1,359,227,2,24.23,623
Zone1,2,11,0,0,175,146,2,11.81,541
Zone1,2,12,0,0,215,169,0,14.51,499
Zone1,2,13,0,0,202,134,2,13.64,524
Zone1,2,14,0,0,210,165,2,14.18,487
Zone1,2,15,0,0,161,138,0,10.87,516
Zone1,2,16,0,0,164,136,1,11.07,465
Zone1,2,17,0,1,588,389,1,39.69,742
Zone1,2,18,0,1,595,386,1,40.16,704
Zone1,2,19,0,1,549,373,2,37.06,746
Zone1,2,20,0,1,573,376,0,38.68,688
Zone1,2,21,0,0,166,116,1,11.21,525
Zone1,2,22,0,0,191,139,1,12.89,523
Zone1,2,23,0,0,215,146,0,14.51,488
Zone1,3,0,0,0,160,130,0,10.8,462
Zone1,3,1,0,0,212,145,0,14.31,510
Zone1,3,2,0,0,154,129,2,10.4,528
Zone1,3,3,0,0,182,133,1,12.29,491
Zone1,3,4,0,0,214,175,1,14.45,551
Zone1,3,5,0,0,156,123,0,10.53,502
Zone1,3,6,0,0,209,140,0,14.11,475
Zone1,3,7,0,1,339,244,2,22.88,566
Zone1,3,8,0,1,305,215,2,20.59,534
Zone1,3,9,0,1,300,215,0,20.25,528
Zone1,3,10,0,1,310,223,2,20.93,538
Zone1,3,11,0,0,184,154,0,12.42,489
Zone1,3,12,0,0,224,148,1,15.12,508
Zone1,3,13,0,0,183,116,0,12.35,486
Zone1,3,14,0,0,213,169,0,14.38,513
Zone1,3,15,0,0,208,170,2,14.04,561
Zone1,3,16,0,0,173,123,2,11.68,550
Zone1,3,17,0,1,569,362,1,38.41,684
Zone1,3,18,0,1,532,355,2,35.91,669
Zone1,3,19,0,1,551,360,2,37.19,708
Zone1,3,20,0,1,578,367,0,39.02,717
Zone1,3,21,0,0,212,156,2,14.31,496
Zone1,3,22,0,0,161,126,0,10.87,517
Zone1,3,23,0,0,223,143,1,15.05,536
Zone1,4,0,0,0,165,137,0,11.14,491
Zone1,4,1,0,0,169,143,0,11.41,541
Zone1,4,2,0,0,179,132,0,12.08,536
Zone1,4,3,0,0,206,133,0,13.91,541
Zone1,4,4,0,0,177,120,0,11.95,504
Zone1,4,5,0,0,175,149,1,11.81,548
Zone1,4,6,0,0,159,129,0,10.73,481
Zone1,4,7,0,1,313,215,0,21.13,556
Zone1,4,8,0,1,296,206,1,19.98,524
Zone1,4,9,0,1,346,253,1,23.36,569
Zone1,4,10,0,1,317,228,0,21.4,565
Zone1,4,11,0,0,214,165,2,14.45,554
Zone1,4,12,0,0,163,117,1,11.0,522
Zone1,4,13,0,0,165,118,2,11.14,479
Zone1,4,14,0,0,205,134,0,13.84,510
Zone1,4,15,0,0,167,107,1,11.27,513
Zone1,4,16,0,0,221,139,1,14.92,519
Zone1,4,17,0,1,536,357,1,36.18,652
Zone1,4,18,0,1,585,361,0,39.49,695
Zone1,4,19,0,1,582,367,1,39.29,698
Zone1,4,20,0,1,545,346,2,36.79,662
Zone1,4,21,0,0,168,113,1,11.34,464
Zone1,4,22,0,0,157,102,2,10.6,499
Zone1,4,23,0,0,166,115,2,11.21,539
Zone1,5,0,0,0,209,168,0,14.11,482
Zone1,5,1,0,0,155,137,0,10.46,517
Zone1,5,2,0,0,184,135,2,12.42,553
Zone1,5,3,0,0,171,133,2,11.54,499
Zone1,5,4,0,0,224,161,0,15.12,560
Zone1,5,5,0,0,191,157,1,12.89,557
Zone1,5,6,0,0,168,114,2,11.34,499
Zone1,5,7,0,1,292,213,1,19.71,548
Zone1,5,8,0,1,358,224,2,24.17,641
Zone1,5,9,0,1,322,214,2,21.74,571
Zone1,5,10,0,1,317,211,0,21.4,610
Zone1,5,11,0,0,194,139,1,13.1,502
Zone1,5,12,0,0,176,139,0,11.88,473
Zone1,5,13,0,0,169,147,2,11.41,548
Zone1,5,14,0,0,201,166,2,13.57,506
Zone1,5,15,0,0,178,139,0,12.02,462
Zone1,5,16,0,0,215,172,1,14.51,575
Zone1,5,17,0,1,556,345,0,37.53,716
Zone1,5,18,0,1,598,381,2,40.37,759
Zone1,5,19,0,1,582,358,1,39.29,774
Zone1,5,20,0,1,595,387,2,40.16,759
Zone1,5,21,0,0,163,104,1,11.0,477
Zone1,5,22,0,0,161,126,2,10.87,471
Zone1,5,23,0,0,190,137,2,12.83,488
Zone1,6,0,1,0,176,120,1,11.88,470
Zone1,6,1,1,0,130,101,1,8.78,431
Zone1,6,2,1,0,159,141,1,10.73,456
Zone1,6,3,1,0,179,120,1,12.08,484
Zone1,6,4,1,0,156,122,0,10.53,501
Zone1,6,5,1,0,115,101,1,7.76,513
Zone1,6,6,1,0,145,103,1,9.79,531
Zone1,6,7,1,1,283,211,1,19.1,570
